ANSI,Stato,Capitale,Popolazione (1-4-2020)
AL,Alabama,Montgomery,5 024 279
AK,Alaska,Juneau,733 391
AZ,Arizona,Phoenix,7 151 502
AR,Arkansas,Little Rock,3 011 524
CA,California,Sacramento,39 538 223
NC,Carolina del Nord,Raleigh,10 439 388
SC,Carolina del Sud,Columbia,5 118 425
CO,Colorado,Denver,5 773 714
CT,Connecticut,Hartford,3 605 944
ND,Dakota del Nord,Bismarck,779 094
SD,Dakota del Sud,Pierre,886 667
DE,Delaware,Dover,989 948
DC,Distretto della Colombia,Washington D.C.,689 545
FL,Florida,Tallahassee,21 538 187
GA,Georgia,Atlanta,10 711 908
HI,Hawaii,Honolulu,1 455 271
ID,Idaho,Boise,1 839 106
IL,Illinois,Springfield,12 812 508
IN,Indiana,Indianapolis,6 785 528
IA,Iowa,Des Moines,3 190 369
KS,Kansas,Topeka,2 937 880
KY,Kentucky,Frankfort,4 505 836
LA,Louisiana,Baton Rouge,4 657 757
ME,Maine,Augusta,1 362 359
MD,Maryland,Annapolis,6 177 224
MA,Massachusetts,Boston,7 029 917
MI,Michigan,Lansing,10 077 331
MN,Minnesota,Saint Paul,5 706 494
MS,Mississippi,Jackson,2 961 279
MO,Missouri,Jefferson City,6 154 913
MT,Montana,Helena,1 084 225
NE,Nebraska,Lincoln,1 961 504
NV,Nevada,Carson City,3 104 614
NH,New Hampshire,Concord,1 377 529
NJ,New Jersey,Trenton,9 288 994
NY,New York,Albany,20 201 249
NM,Nuovo Messico,Santa Fe,2 117 522
OH,Ohio,Columbus,11 799 448
OK,Oklahoma,Oklahoma City,3 959 353
OR,Oregon,Salem,4 237 256
PA,Pennsylvania,Harrisburg,13 002 700
RI,Rhode Island,Providence,1 097 379
TN,Tennessee,Nashville,6 910 840
TX,Texas,Austin,29 145 505
UT,Utah,Salt Lake City,3 271 616
VT,Vermont,Montpelier,643 077
VA,Virginia,Richmond,8 631 393
WV,Virginia Occidentale,Charleston,1 793 716
WA,Washington,Olympia,7 705 281
WI,Wisconsin,Madison,5 893 718
WY,Wyoming,Cheyenne,576 851
